name,location,longitude,latitude
Dziedziniec KUL - pomnik Jana Pawła II i kardynała Stefana Wyszyńskiego,Lublin,51.24778,22.54472
Pomnik Jana Pawła II,Dąbrowica,51.26808,22.46399
Pomnik Jana Pawła II,Łęczna,51.30536,22.88625
Pomnik Jana Pawła II,Zamość,50.71681,23.25076
Pomnik Jana Pawła II,Chełm,51.13384,23.49435
Pomnik Jana Pawła II,Biała Podlaska,52.03197,23.12034
Pomnik Papieża Jana Pawła II,Ortel Książęcy Drugi,51.98277,23.26942
Pomnik Jana Pawła II,Łuków,51.92906,22.37935
Pomik Jana Pawła II,Ulan-Majorat,51.81269,22.48006
Pomnik Jana Pawła II,Brzozowica Duża,51.95029,22.6156
Pomnik Jana Pawła II,Brzeźnica Bychawska,51.52786,22.74805
Pomnik Ojca Świętego Jana Pawła II,Ludwin,51.34732,22.90741
Kamień pamiątkowy Jan Paweł II,Żabce,52.0216,22.72093
Pomnik Jana Pawła II,Międzyrzec Podlaski,51.98429,22.78466
Pomik Jana Pawła II,Przegaliny Duże,51.82665,22.87349
Pomnik Jana Pawła II,Nowodwór,51.64216,22.09994
Pomnik Jana Pawła II,Borki,51.72056,22.52119
Pomnik pamięci Jana Pawła II,Żuków,51.60699,23.40996
Pomnik Jana Pawła II,Parczew,51.63401,22.88393
Pomnik Jana Pawla II,Trzebiesza,51.16716,22.01652
Pomnik Jana Pawła II,Bełżyce,51.17417,22.27719
Pomnik Jana Pawła II,Mircze,50.6531730766111,23.896451731437054
Jan Paweł II,Puławy,51.4175066,21.9734243
Pomnik Jana Pawła II,Tarnogród,50.3609091,22.7423729
Pomnik Jana Pawła II,Szczebrzeszyn,50.6955416,22.9794077
Pomnik Jana Pawła II,Lublin,51.2250178,22.5173297
Pomnika św.Jana Pawła II,Siedliska,50.2676138,23.5657975
Jan Paweł II,Kazimierz Dolny,51.3226475,21.9488444
Pomnik Jana Pawła II,Modliborzyce,50.7561173,22.3283585
