name;location;longitude;latitude
Półwysep Jana Pawła II;Antarktyda;-62.528611;-60.766111
katamaran MV Saint John Paul II;gdzieś pomiędzy Maltą a Sycylią;36.54392761229021;13.454621290303507
Góra Jana Pawła II;okolice Pelplina;53.928581;18.669038
katamaran MV Saint John Paul II;gdzieś pomiędzy Maltą a Sycylią;36.54392761229021;13.454621290303507
Molo w Sopocie im. Jana Pawła II;Sopot;54.447778;18.576111
Dom Pomocy Społecznej im. Jana Pawła II w Szczytnie;Szczytno;53.556685315344446;20.986879294519465
Muzeum Świętego Jana Pawła II;Kraków;50.01292867741257;19.93713234925272
Centrum Jana Pawła II "Nie lękajcie się!";Kraków;50.01299934675218;19.937067979019815
Centrum Kultury Papieża Jana Pawła II w Waszyngtonie;Waszyngton;38.9377;-77.0047
Kamieniołom im. Jana Pawła II;Kraków;50.043306;19.949889
Hotel im. Jana Pawła II;Wrocław;51.114858583613476;17.04493906918785
Centrum Spotkań im. Jana Pawła II;Legnica;51.207080826196226;16.191620027328497
Résidence Internationale d'Etudiant Jean-Paul II;Arcueil, Francja;48.80890821821198;2.330759634972078
